"";"Version..0...Fixed.Task.";"Task";"Concept";"Att.1...Doppelseitiges.Drucken";"Att.2...Scan.Funktion";"Att.3...Eco.Modus";"Att.4...Kosten.pro.Seite..in.cent.";"Att.5...Heft..und.Lochfunktion";"Att.6...Sterne.Bewertung.von.1..schlecht..bis.5..gut.";"Att.7...Preis"
"132";3;7;4;2;1;2;2;2;2;4
"133";3;8;1;1;1;1;3;1;4;3
"134";3;8;2;1;1;1;1;2;2;3
"135";3;8;3;2;1;1;3;2;3;4
"136";3;8;4;2;1;2;1;1;2;1
"137";3;9;1;2;2;1;2;1;1;1
"138";3;9;2;2;1;1;1;2;4;1
"139";3;9;3;1;1;1;2;1;2;2
"140";3;9;4;2;1;2;1;1;3;4
"141";3;10;1;2;1;1;2;1;3;3
"142";3;10;2;2;1;1;1;1;2;5
"143";3;10;3;1;2;1;2;1;3;2
"144";3;10;4;2;1;2;1;2;4;4
"145";3;11;1;2;1;1;3;1;1;4
"146";3;11;2;2;2;1;3;2;1;5
"147";3;11;3;2;2;1;1;2;2;3
"148";3;11;4;1;2;2;2;2;3;2
"149";3;12;1;2;1;1;1;2;3;3
"150";3;12;2;2;2;2;1;1;2;4
"151";3;12;3;2;1;2;3;2;3;1
"152";3;12;4;2;1;1;1;1;2;1
"153";4;1;1;1;1;1;3;1;4;3
"154";4;1;2;2;2;2;3;1;2;5
"155";4;1;3;1;2;2;2;1;1;4
"156";4;1;4;1;1;2;2;1;4;4
"157";4;2;1;1;2;1;2;2;1;2
"158";4;2;2;2;2;2;3;1;4;3
"159";4;2;3;2;1;2;1;2;4;3
"160";4;2;4;2;2;2;3;2;1;3
"161";4;3;1;2;1;2;3;2;1;4
"162";4;3;2;2;1;2;3;1;4;5
"163";4;3;3;2;2;2;1;2;2;5
"164";4;3;4;2;1;2;1;2;1;4
"165";4;4;1;2;1;1;2;1;1;4
"166";4;4;2;2;2;1;3;1;3;1
"167";4;4;3;2;2;1;2;1;4;5
"168";4;4;4;2;1;1;1;2;4;3
"169";4;5;1;1;2;1;2;1;4;3
"170";4;5;2;1;2;1;1;2;3;2
"171";4;5;3;1;1;1;3;2;3;2
"172";4;5;4;2;1;1;2;1;2;2
"173";4;6;1;1;2;2;1;2;2;5
"174";4;6;2;2;1;1;3;2;1;4
"175";4;6;3;2;1;2;2;1;2;1
"176";4;6;4;1;1;2;1;1;2;2
"177";4;7;1;1;1;1;2;2;2;3
"178";4;7;2;2;1;1;3;1;1;1
"179";4;7;3;2;2;2;3;2;4;1
"180";4;7;4;2;1;2;3;2;2;2
"181";4;8;1;2;2;2;3;1;1;5
"182";4;8;2;2;2;1;2;1;3;2
"183";4;8;3;2;2;1;2;2;3;2
"184";4;8;4;2;2;1;1;1;1;3
"185";4;9;1;2;1;2;2;2;3;1
"186";4;9;2;1;1;1;3;2;4;5
"187";4;9;3;1;2;2;1;1;1;5
"188";4;9;4;2;1;2;2;1;3;3
"189";4;10;1;2;2;2;3;2;4;4
"190";4;10;2;2;1;2;2;1;4;4
"191";4;10;3;2;2;1;2;2;3;5
"192";4;10;4;2;2;1;2;1;4;2
"193";4;11;1;1;2;1;3;1;4;2
